feature,most_affected_property,delta_targeted,mean_abs_delta_others,specificity_ratio,frac_molecules_affected
632,flexibility,-0.014295351799662903,0.00032135672467195067,44.48437111205926,0.40069882074000124
211,lipophilicity,-1.6711174514754494,0.07234264196061854,23.10003348212196,0.429182005365945
995,flexibility,-0.6155176235784638,0.029444917981295983,20.904035934807265,0.35730330068010235
877,flexibility,-2.1977632174256003,0.12166920696381181,18.063430117361438,0.4945716603232046
163,lipophilicity,-1.376016795855228,0.0972237505979123,14.153093121720975,0.5089848380857304
746,flexibility,-0.217933135370728,0.020350279924923165,10.70909767210737,0.19230049291820053
741,polarity,-0.2567631144817609,0.031215503309448823,8.22549974403391,0.7774068758969239
188,drug_likeness,-0.9317234999717792,0.11414444678108396,8.162670425471672,0.46434142384725774
950,drug_likeness,-0.5039467518687387,0.0934236390097829,5.394210257812455,0.39090285143819803
100,drug_likeness,-0.555286891058205,0.10410778837266392,5.3337689690467895,0.41330255194359516
176,size,-0.26298030132965555,0.06913590545710949,3.8038165493153655,0.8306607599675547
806,flexibility,-0.004099204360694442,0.0012600275359517799,3.253265697561164,0.4248767704498658
