feature,intervention,scale,property,metric,baseline,ablated,delta,frac_molecules_affected
100,ablate,0.0,drug_likeness,R2,0.5291568727581608,-0.026130018300044133,-0.555286891058205,0.41330255194359516
100,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.8305812585053542,-0.10940461342882513,0.41330255194359516
100,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.4580731441964374,-0.36631242984581425,0.41330255194359516
100,ablate,0.0,size,R2,0.9805196350182971,0.9129482445377737,-0.06757139048052341,0.41330255194359516
100,ablate,0.0,polarity,R2,0.9674208407166979,0.767427607873707,-0.19999323284299086,0.41330255194359516
100,ablate,0.0,flexibility,R2,0.566849969287009,0.5531939079204358,-0.013656061366573269,0.41330255194359516
100,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9130814593097457,-0.06743049215954178,0.41330255194359516
100,ablate,0.0,halogen,AUROC,0.9997442559566605,0.8024719457935557,-0.19727231016310476,0.41330255194359516
100,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9972580648829872,-0.002737670390057678,0.41330255194359516
100,ablate,0.0,urea,AUROC,0.8499297615658112,0.8332443097456121,-0.016685451820199093,0.41330255194359516
100,ablate,0.0,boron,AUROC,1.0,0.999985768770991,-1.4231229009009638e-05,0.41330255194359516
877,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.3475532727674918,-0.181603599990669,0.4945716603232046
877,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.7938520900773334,-0.146133781856846,0.4945716603232046
877,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.6058197325253001,-0.21856584151695158,0.4945716603232046
877,ablate,0.0,size,R2,0.9805196350182971,0.9286596267724483,-0.0518600082458488,0.4945716603232046
877,ablate,0.0,polarity,R2,0.9674208407166979,0.40315795709186875,-0.5642628836248291,0.4945716603232046
877,ablate,0.0,flexibility,R2,0.566849969287009,-1.6309132481385915,-2.1977632174256003,0.4945716603232046
877,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.927818240398087,-0.052693711071200466,0.4945716603232046
877,ablate,0.0,halogen,AUROC,0.9997442559566605,0.999578270576419,-0.00016598538024148457,0.4945716603232046
877,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999707155415748,-2.5019731470066198e-05,0.4945716603232046
877,ablate,0.0,urea,AUROC,0.8499297615658112,0.8485485233457496,-0.0013812382200616424,0.4945716603232046
877,ablate,0.0,boron,AUROC,1.0,1.0,0.0,0.4945716603232046
806,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.5270359804585493,-0.002120892299611543,0.4248767704498658
806,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9399811685123938,-4.703421785601236e-06,0.4248767704498658
806,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.8243609219915553,-2.4652050696349903e-05,0.4248767704498658
806,ablate,0.0,size,R2,0.9805196350182971,0.9773915625726276,-0.003128072445669483,0.4248767704498658
806,ablate,0.0,polarity,R2,0.9674208407166979,0.9635501466025655,-0.0038706941141323226,0.4248767704498658
806,ablate,0.0,flexibility,R2,0.566849969287009,0.5627507649263146,-0.004099204360694442,0.4248767704498658
806,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9774003488440113,-0.003111602625276211,0.4248767704498658
806,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9996940222580067,-5.02336986537566e-05,0.4248767704498658
806,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999957352730449,0.0,0.4248767704498658
806,ablate,0.0,urea,AUROC,0.8499297615658112,0.8502191862695038,0.00028942470369253126,0.4248767704498658
806,ablate,0.0,boron,AUROC,1.0,1.0,0.0,0.4248767704498658
176,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.35708971104690534,-0.17206716171125547,0.8306607599675547
176,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.8793704737158993,-0.0606153982182801,0.8306607599675547
176,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.7134931818004262,-0.11089239224182545,0.8306607599675547
176,ablate,0.0,size,R2,0.9805196350182971,0.7175393336886415,-0.26298030132965555,0.8306607599675547
176,ablate,0.0,polarity,R2,0.9674208407166979,0.9194348879137024,-0.047985952802995446,0.8306607599675547
176,ablate,0.0,flexibility,R2,0.566849969287009,0.5351107407411904,-0.031739228545818676,0.8306607599675547
176,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.7178847343048106,-0.2626272171644769,0.8306607599675547
176,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9989172496193288,-0.0008270063373316816,0.8306607599675547
176,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9965816791879051,-0.0034140560851397828,0.8306607599675547
176,ablate,0.0,urea,AUROC,0.8499297615658112,0.8511204030297825,0.0011906414639712981,0.8306607599675547
176,ablate,0.0,boron,AUROC,1.0,1.0,0.0,0.8306607599675547
950,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.025210120889422094,-0.5039467518687387,0.39090285143819803
950,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9279837053001467,-0.01200216663403264,0.39090285143819803
950,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.6683443215138754,-0.1560412525283763,0.39090285143819803
950,ablate,0.0,size,R2,0.9805196350182971,0.9499646613090396,-0.030554973709257527,0.39090285143819803
950,ablate,0.0,polarity,R2,0.9674208407166979,0.6155211885533475,-0.3518996521633504,0.39090285143819803
950,ablate,0.0,flexibility,R2,0.566849969287009,0.21354908329418942,-0.3533008859928196,0.39090285143819803
950,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9502328655526674,-0.030279085916620097,0.39090285143819803
950,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9996688080565507,-7.544790010982627e-05,0.39090285143819803
950,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999963039033055,5.686302606555671e-07,0.39090285143819803
950,ablate,0.0,urea,AUROC,0.8499297615658112,0.8498474049428093,-8.235662300193347e-05,0.39090285143819803
950,ablate,0.0,boron,AUROC,1.0,1.0,0.0,0.39090285143819803
746,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.4918526456697975,-0.03730422708836334,0.19230049291820053
746,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.8790582704491102,-0.06092760148506915,0.19230049291820053
746,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.7829286423646151,-0.04145693167763653,0.19230049291820053
746,ablate,0.0,size,R2,0.9805196350182971,0.9561632956818586,-0.024356339336438437,0.19230049291820053
746,ablate,0.0,polarity,R2,0.9674208407166979,0.953908525219709,-0.013512315496988836,0.19230049291820053
746,ablate,0.0,flexibility,R2,0.566849969287009,0.34891683391628103,-0.217933135370728,0.19230049291820053
746,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9560705434147716,-0.02444140805451589,0.19230049291820053
746,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9998078268970109,6.357094035036592e-05,0.19230049291820053
746,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999954509579145,-2.8431513032778355e-07,0.19230049291820053
746,ablate,0.0,urea,AUROC,0.8499297615658112,0.848496756325577,-0.0014330052402342641,0.19230049291820053
746,ablate,0.0,boron,AUROC,1.0,0.9999928843854955,-7.115614504504819e-06,0.19230049291820053
163,ablate,0.0,drug_likeness,R2,0.5291568727581608,-0.03822260783575637,-0.5673794805939172,0.5089848380857304
