seed_a,seed_b,feature_a,best_cosine,source
42,43,0,0.20669607818126678,observed
42,43,1,0.19905027747154236,observed
42,43,2,0.20317885279655457,observed
42,43,3,0.21855753660202026,observed
42,43,4,0.23327094316482544,observed
42,43,5,0.22506150603294373,observed
42,43,6,0.21020805835723877,observed
42,43,7,0.23192541301250458,observed
42,43,8,0.39577335119247437,observed
42,43,9,0.19775569438934326,observed
42,43,10,0.23793119192123413,observed
42,43,11,0.2152269184589386,observed
42,43,12,0.23094090819358826,observed
42,43,13,0.17861495912075043,observed
42,43,14,0.2745024859905243,observed
42,43,15,0.22671319544315338,observed
42,43,16,0.2923678755760193,observed
42,43,17,0.2135244756937027,observed
42,43,18,0.2373759001493454,observed
42,43,19,0.20759697258472443,observed
42,43,20,0.20214588940143585,observed
42,43,21,0.2249011993408203,observed
42,43,22,0.20261183381080627,observed
42,43,23,0.21691904962062836,observed
42,43,24,0.18450675904750824,observed
42,43,25,0.19936062395572662,observed
42,43,26,0.7267625331878662,observed
42,43,27,0.4373309910297394,observed
42,43,28,0.2123294174671173,observed
42,43,29,0.2132379710674286,observed
42,43,30,0.20638762414455414,observed
42,43,31,0.21702603995800018,observed
42,43,32,0.234458327293396,observed
42,43,33,0.2312076985836029,observed
42,43,34,0.21567323803901672,observed
42,43,35,0.22355544567108154,observed
42,43,36,0.2667180299758911,observed
42,43,37,0.2245694100856781,observed
42,43,38,0.23769941926002502,observed
42,43,39,0.18927277624607086,observed
42,43,40,0.19144324958324432,observed
42,43,41,0.3349684774875641,observed
42,43,42,0.21722212433815002,observed
42,43,43,0.24593785405158997,observed
42,43,44,0.1998053789138794,observed
42,43,45,0.20360174775123596,observed
42,43,46,0.2191404104232788,observed
42,43,47,0.35802510380744934,observed
42,43,48,0.22044385969638824,observed
42,43,49,0.2511257231235504,observed
42,43,50,0.2214599996805191,observed
42,43,51,0.2100158929824829,observed
42,43,52,0.19512192904949188,observed
42,43,53,0.2299499809741974,observed
42,43,54,0.2184572070837021,observed
42,43,55,0.25833138823509216,observed
42,43,56,0.2115216702222824,observed
42,43,57,0.22073200345039368,observed
42,43,58,0.226331427693367,observed
42,43,59,0.2578539252281189,observed
42,43,60,0.2135639637708664,observed
42,43,61,0.4222697913646698,observed
42,43,62,0.20207227766513824,observed
42,43,63,0.18995876610279083,observed
42,43,64,0.18843327462673187,observed
42,43,65,0.24011079967021942,observed
42,43,66,0.18254846334457397,observed
42,43,67,0.2297133058309555,observed
42,43,68,0.22844737768173218,observed
42,43,69,0.2541213631629944,observed
42,43,70,0.22661492228507996,observed
42,43,71,0.18899354338645935,observed
42,43,72,0.2822815775871277,observed
42,43,73,0.2311117947101593,observed
42,43,74,0.19149817526340485,observed
42,43,75,0.2291392982006073,observed
42,43,76,0.4090214669704437,observed
42,43,77,0.3767921030521393,observed
42,43,78,0.2185637652873993,observed
42,43,79,0.21136066317558289,observed
42,43,80,0.2408428192138672,observed
42,43,81,0.2111315280199051,observed
42,43,82,0.2009764462709427,observed
42,43,83,0.18137556314468384,observed
42,43,84,0.18886113166809082,observed
42,43,85,0.19202584028244019,observed
42,43,86,0.255668580532074,observed
42,43,87,0.2242295742034912,observed
42,43,88,0.2238851636648178,observed
42,43,89,0.24072401225566864,observed
42,43,90,0.21781368553638458,observed
42,43,91,0.19479413330554962,observed
42,43,92,0.2112760841846466,observed
42,43,93,0.23250757157802582,observed
42,43,94,0.21060073375701904,observed
42,43,95,0.1963999718427658,observed
42,43,96,0.20279981195926666,observed
42,43,97,0.20415948331356049,observed
42,43,98,0.22836185991764069,observed
42,43,99,0.1974978744983673,observed
42,43,100,0.7587910890579224,observed
42,43,101,0.19602839648723602,observed
42,43,102,0.20957602560520172,observed
42,43,103,0.2692686915397644,observed
42,43,104,0.26374009251594543,observed
42,43,105,0.18577976524829865,observed
42,43,106,0.23083584010601044,observed
42,43,107,0.21733985841274261,observed
42,43,108,0.24697567522525787,observed
42,43,109,0.21132996678352356,observed
42,43,110,0.21803544461727142,observed
42,43,111,0.2134033888578415,observed
42,43,112,0.22675201296806335,observed
42,43,113,0.3957568109035492,observed
42,43,114,0.22199410200119019,observed
42,43,115,0.19584758579730988,observed
42,43,116,0.2535213828086853,observed
42,43,117,0.20919474959373474,observed
42,43,118,0.23156028985977173,observed
42,43,119,0.19468875229358673,observed
42,43,120,0.1813237965106964,observed
42,43,121,0.255937784910202,observed
42,43,122,0.1991608738899231,observed
42,43,123,0.202140212059021,observed
42,43,124,0.40074509382247925,observed
42,43,125,0.26603928208351135,observed
42,43,126,0.19833025336265564,observed
42,43,127,0.21372352540493011,observed
42,43,128,0.19850897789001465,observed
42,43,129,0.20651023089885712,observed
42,43,130,0.19262176752090454,observed
42,43,131,0.17848563194274902,observed
42,43,132,0.21706844866275787,observed
42,43,133,0.19235530495643616,observed
42,43,134,0.22120705246925354,observed
42,43,135,0.22436651587486267,observed
42,43,136,0.21394313871860504,observed
42,43,137,0.2086220383644104,observed
42,43,138,0.19020307064056396,observed
42,43,139,0.39454028010368347,observed
42,43,140,0.2686491310596466,observed
42,43,141,0.3228973150253296,observed
42,43,142,0.20080122351646423,observed
42,43,143,0.20934422314167023,observed
42,43,144,0.2362731248140335,observed
42,43,145,0.22552534937858582,observed
42,43,146,0.7794063091278076,observed
42,43,147,0.21537259221076965,observed
42,43,148,0.5774886608123779,observed
42,43,149,0.21371155977249146,observed
42,43,150,0.19810928404331207,observed
42,43,151,0.23431120812892914,observed
42,43,152,0.21020038425922394,observed
42,43,153,0.20396219193935394,observed
42,43,154,0.21701504290103912,observed
42,43,155,0.24286101758480072,observed
42,43,156,0.1943720132112503,observed
42,43,157,0.2270679622888565,observed
42,43,158,0.21448281407356262,observed
42,43,159,0.23179660737514496,observed
42,43,160,0.2177567183971405,observed
42,43,161,0.20278801023960114,observed
42,43,162,0.2207978218793869,observed
42,43,163,0.7624551057815552,observed
42,43,164,0.1891021579504013,observed
42,43,165,0.2068728804588318,observed
42,43,166,0.23799443244934082,observed
42,43,167,0.21138828992843628,observed
42,43,168,0.4347839653491974,observed
42,43,169,0.2258429080247879,observed
42,43,170,0.21985317766666412,observed
42,43,171,0.22113889455795288,observed
42,43,172,0.2602148950099945,observed
42,43,173,0.2457599937915802,observed
42,43,174,0.238177090883255,observed
42,43,175,0.1921503096818924,observed
42,43,176,0.5597144961357117,observed
42,43,177,0.2489079385995865,observed
42,43,178,0.21062548458576202,observed
42,43,179,0.20895758271217346,observed
42,43,180,0.2357403188943863,observed
42,43,181,0.20109157264232635,observed
42,43,182,0.21744787693023682,observed
42,43,183,0.19664299488067627,observed
42,43,184,0.19440241158008575,observed
42,43,185,0.23856976628303528,observed
42,43,186,0.19849459826946259,observed
42,43,187,0.19577929377555847,observed
42,43,188,0.2334669530391693,observed
42,43,189,0.22442291676998138,observed
42,43,190,0.21843089163303375,observed
42,43,191,0.20443466305732727,observed
42,43,192,0.19936209917068481,observed
42,43,193,0.22742342948913574,observed
42,43,194,0.20774686336517334,observed
42,43,195,0.21489271521568298,observed
42,43,196,0.23488470911979675,observed
42,43,197,0.21009913086891174,observed
42,43,198,0.23018446564674377,observed
42,43,199,0.20399682223796844,observed
42,43,200,0.2158278524875641,observed
42,43,201,0.20380045473575592,observed
42,43,202,0.18845519423484802,observed
42,43,203,0.19243572652339935,observed
42,43,204,0.2287517488002777,observed
42,43,205,0.2368532419204712,observed
42,43,206,0.32647794485092163,observed
42,43,207,0.2151479423046112,observed
42,43,208,0.2764580249786377,observed
42,43,209,0.221671000123024,observed
42,43,210,0.2718425989151001,observed
42,43,211,0.23275800049304962,observed
42,43,212,0.20908504724502563,observed
42,43,213,0.44162341952323914,observed
42,43,214,0.22769729793071747,observed
