feature,n_properties,properties,semanticity,activation_frequency,top_enriched_substructures,n_enriched,w_drug_likeness,w_complexity_ringproxy,w_lipophilicity,w_size,w_polarity,w_flexibility,w_molecular_weight,w_halogen,w_aromaticity,w_urea,w_boron
100,7,drug_likeness|complexity_ringproxy|lipophilicity|size|polarity|molecular_weight|halogen,polysemantic,0.41330255194359516,halogen_F(+77pts)|ester(+40pts),2,-0.11137855052947998,0.031511493027210236,0.7067199945449829,0.03191245719790459,-0.04823718219995499,0.03334488719701767,15.966357231140137,8.034870847224479,0.4344022287286319,-0.17059251811297893,-0.03021460925006226
877,5,drug_likeness|size|polarity|flexibility|molecular_weight,polysemantic,0.4945716603232046,benzene(+47pts)|alcohol(-33pts),2,-0.0671856701374054,-0.01351233385503292,-0.2476985901594162,0.03662995994091034,-0.05795889347791672,-0.16961678862571716,18.293344497680664,-0.10002712430110192,0.5809317579411436,-0.7071490366064437,-0.02975244573962722
806,5,complexity_ringproxy|size|polarity|flexibility|molecular_weight,polysemantic,0.4248767704498658,ester(+70pts)|ether(+50pts),2,0.06407155096530914,0.01729518547654152,-0.08943791687488556,-0.019610071554780006,0.06454166769981384,0.1696610450744629,-9.825052261352539,0.5428289496730485,0.09152855750153739,-0.19363646830183806,0.005564846605505889
424,4,size|polarity|flexibility|molecular_weight,polysemantic,0.4683034878642291,benzene(-77pts)|amide(-57pts),2,-0.029973408207297325,-0.007405965123325586,-0.0379103384912014,0.023246081545948982,0.07010126113891602,0.21430227160453796,11.607803344726562,0.3510807576253385,-0.05727338052710118,-0.6742194227348708,0.018640249489843656
835,4,drug_likeness|lipophilicity|polarity|flexibility,polysemantic,0.48745866350533473,benzene(-73pts)|amide(-50pts)|aromatic_N(-47pts),5,0.11840131133794785,-0.004927507601678371,-1.429260492324829,-0.0029523891862481833,0.04090357571840286,-0.09471902996301651,-1.4607868194580078,-0.031567131778727595,-0.5113498278841443,0.14371900796749473,0.001393566055627184
442,4,complexity_ringproxy|lipophilicity|aromaticity|urea,polysemantic,0.7667061833156549,halogen_F(+70pts)|amide(+53pts)|pyridine(-37pts),3,0.06464136391878128,-0.04802833870053291,-0.6017994284629822,-0.01730630174279213,-0.0031180952209979296,-0.07318435609340668,-8.655315399169922,0.6230741249449563,-3.184728429532547,-0.9881213974650744,-0.04311682794280745
353,4,complexity_ringproxy|lipophilicity|flexibility|urea,polysemantic,0.5336307481125601,benzene(-63pts)|aromatic_N(-60pts)|ether(+47pts),5,0.00915323756635189,-0.09284645318984985,-0.6214098930358887,0.00031575834145769477,0.014028279110789299,-0.09180634468793869,0.15468677878379822,0.8392823775729928,-0.775559178087627,-1.2148927305442976,0.044190143992071176
334,4,lipophilicity|size|molecular_weight|urea,polysemantic,0.4405378423909653,ester(+50pts)|aromatic_N(+43pts),2,0.037484828382730484,-0.0075969090685248375,-0.4633084833621979,-0.02145365998148918,0.0017438636859878898,0.02154768630862236,-10.734563827514648,-0.7823628562302044,0.025586510822894926,1.948035717847151,-0.047158442089047625
807,4,complexity_ringproxy|halogen|aromaticity|boron,polysemantic,0.5846384226617583,halogen_F(+70pts)|aromatic_N(+53pts)|benzene(-43pts),4,0.0004927351255901158,0.01687069982290268,0.02853119932115078,0.00107965141069144,-0.003840068820863962,0.019917532801628113,0.5370029211044312,3.9891273955944526,0.795069169662989,0.18452999799868927,0.2001793983024998
211,4,drug_likeness|lipophilicity|size|molecular_weight,polysemantic,0.429182005365945,aromatic_N(+43pts)|ester(+43pts)|ether(+43pts),4,-0.10656963288784027,0.0032983794808387756,1.5592749118804932,0.024845412001013756,-0.011482474394142628,0.05087009072303772,12.408588409423828,0.6719261009814785,0.237964368907179,-0.4885564452128904,-0.006290586482612699
188,4,drug_likeness|lipophilicity|polarity|flexibility,polysemantic,0.46434142384725774,halogen_F(+53pts)|aromatic_N(+43pts),2,0.08020380139350891,-0.0024027316831052303,-0.5245159864425659,-0.008792299777269363,0.04200219362974167,-0.10897235572338104,-4.397133827209473,1.2058900751532156,0.28210070978282836,0.24789459305748016,-0.057398777496028675
176,4,size|molecular_weight|halogen|aromaticity,polysemantic,0.8306607599675547,halogen_Cl(+83pts)|halogen_Br(+63pts),2,-0.030069652944803238,-0.015564861707389355,0.21791312098503113,0.03998786211013794,-0.01887860707938671,0.019231215119361877,19.993572235107422,2.463740583700224,-4.321323795749232,0.22856803483186877,0.013832872138074093
950,4,drug_likeness|lipophilicity|polarity|flexibility,polysemantic,0.39090285143819803,ester(+63pts)|ether(+47pts),2,0.07909004390239716,0.00920086819678545,-0.5295149683952332,0.015214778482913971,-0.0577542670071125,-0.09365542232990265,7.610180854797363,-0.24696347870781366,0.19205610336064927,0.5335372992856301,0.004641922252410511
163,4,complexity_ringproxy|lipophilicity|polarity|urea,polysemantic,0.5089848380857304,benzene(+60pts)|amine_secondary(+53pts)|carboxylic_acid(-37pts),3,-0.035377707332372665,-0.04584170877933502,1.2030518054962158,-0.0164746455848217,-0.035782717168331146,0.0196816548705101,-8.217412948608398,0.7146345370939338,0.6526435186995336,-1.0432043026570301,-0.05410024950027894
746,4,complexity_ringproxy|size|flexibility|molecular_weight,polysemantic,0.19230049291820053,amide(-60pts)|halogen_Cl(+40pts),2,-0.04189407825469971,0.030278120189905167,0.37498944997787476,0.017729923129081726,-0.0023782430216670036,0.11504010856151581,8.882163047790527,0.018375689096140076,0.22375684098136855,-0.4739596970435932,0.021335258087513333
741,4,polarity|aromaticity|urea|boron,polysemantic,0.7774068758969239,benzene(+57pts)|halogen_Br(+57pts)|aromatic_N(+43pts),5,-0.008462974801659584,-0.0018340188544243574,0.16440729796886444,0.006163184531033039,0.04217980429530144,-0.05703744292259216,3.0827369689941406,0.2907907358481062,3.6237776667861086,-1.04391041688914,0.19420624943823808
995,4,complexity_ringproxy|size|flexibility|molecular_weight,polysemantic,0.35730330068010235,ester(+53pts)|ether(+43pts),2,0.014919662848114967,-0.031237855553627014,-0.014980803243815899,0.0346321202814579,0.023564938455820084,0.08672593533992767,17.31893539428711,-0.20038689104470175,0.0456153617937121,0.8636632728565994,-0.019109057515588234
632,4,drug_likeness|complexity_ringproxy|lipophilicity|flexibility,polysemantic,0.40069882074000124,benzene(-70pts)|amide(-57pts)|aromatic_N(-43pts),3,0.17549848556518555,-0.025078479200601578,-1.1239864826202393,-0.007238897494971752,0.028393244370818138,-0.08806295692920685,-3.6435012817382812,0.03972384831324254,-0.13531086277154708,0.31329889555006823,-0.0025009842865016995
354,3,lipophilicity|polarity|halogen,polysemantic,0.5300430523491608,sulfone(+60pts)|ester(+53pts)|ether(+43pts),3,-0.06285487115383148,0.00749469269067049,-0.6865575909614563,0.0029024865943938494,0.12126372009515762,0.038815539330244064,1.4524171352386475,-1.7882216884903321,-0.5147531091626567,0.09199818361535218,-0.014411231531179338
538,3,halogen|aromaticity|urea,polysemantic,0.5620203406751108,halogen_F(-50pts)|amine_secondary(+47pts)|carboxylic_acid(-40pts),4,0.010994996875524521,-0.011224664747714996,-0.3333248496055603,-0.014884298667311668,0.022484013810753822,-0.02466900460422039,-7.448356628417969,-8.335271985926301,-0.8009298065095486,1.6494573877781,-0.10617033297178144
217,3,lipophilicity|polarity|halogen,polysemantic,0.46827229050976477,aromatic_N(-67pts)|amide(-47pts)|ether(-40pts),4,0.01731826178729534,0.011108262464404106,0.9483615159988403,0.003309591906145215,-0.13422369956970215,-0.011640035547316074,1.646691918373108,2.2528974396036876,0.7947306896298231,-0.7600680551204235,-0.05630365421686662
617,3,size|molecular_weight|halogen,polysemantic,0.49943844761964185,benzene(+57pts),1,-0.03218039125204086,0.00427066907286644,-0.08822494745254517,0.03447011113166809,0.011577150784432888,0.01901254989206791,17.228397369384766,1.4246104838836757,0.5082051519944765,-0.2646940295775064,-0.04541463992446958
26,3,complexity_ringproxy|lipophilicity|flexibility,polysemantic,0.45198727147937856,,0,-0.04707071930170059,0.07867597043514252,0.5044791102409363,-0.003578777192160487,-0.014374956488609314,0.1287802904844284,-1.7885185480117798,-0.58311512142874,0.6467740043456734,0.4980020638949892,-0.022774018877301523
