epoch,train_mse,val_nmse,val_mean_l0,n_dead_epoch,n_resampled
0,0.7659455022790975,0.22970609366893768,64.0,1,0
1,0.1653054599699221,0.12812542915344238,64.0,0,0
2,0.10223416618087836,0.08700091391801834,64.0,0,0
3,0.07284597719186231,0.06521963328123093,64.0,0,0
4,0.0560809877096561,0.05156726762652397,64.0,0,0
5,0.04509115539360465,0.042363930493593216,64.0,0,0
6,0.0374864598638133,0.03579448163509369,64.0,0,0
7,0.03177652230257528,0.03061552345752716,64.0,0,0
8,0.02729415324957747,0.02654283680021763,64.0,0,0
9,0.023740480180110848,0.023281985893845558,64.0,0,0
10,0.020881613781839087,0.02057383954524994,64.0,0,0
11,0.018439229414389843,0.018174216151237488,64.0,0,0
12,0.016363306134416347,0.016236230731010437,64.0,0,0
13,0.014560457449733165,0.014481100253760815,64.0,0,0
14,0.012984325423052437,0.012967648915946484,64.0,0,0
15,0.011618415906763914,0.01161299180239439,64.0,0,0
16,0.010425158171800146,0.010430481284856796,64.0,0,0
17,0.009376851057535723,0.009401862509548664,64.0,0,0
18,0.008438984438646258,0.008507942780852318,64.0,0,0
19,0.007656306592061331,0.007718282286077738,64.0,0,0
20,0.006941891781855048,0.007065789308398962,64.0,0,0
21,0.006329727301929603,0.006460621953010559,64.0,0,0
22,0.005805018431458034,0.005908636376261711,64.0,0,0
23,0.0053166543591048636,0.005444065202027559,64.0,0,0
24,0.004913680500497944,0.005056881811469793,64.0,0,0
25,0.004560543975809165,0.004726042039692402,64.0,0,0
26,0.00424113340283695,0.0043862359598279,64.0,0,0
27,0.003972578920391307,0.004141378682106733,64.0,0,0
28,0.003735568762446443,0.003904986660927534,64.0,0,0
29,0.003529840614646673,0.0036903060972690582,64.0,0,0
30,0.003341952604323364,0.0035115734208375216,64.0,0,0
31,0.003166080893654572,0.0033387558069080114,64.0,0,0
32,0.003000727495211258,0.0031882149633020163,64.0,0,0
33,0.0028519764452715193,0.003021898213773966,64.0,0,0
34,0.002704479176093612,0.0028722614515572786,64.0,0,0
35,0.002566795363172627,0.0027377752121537924,64.0,0,0
36,0.0024363352721066853,0.002603732980787754,64.0,0,0
37,0.002315990745269677,0.002505761105567217,64.0,0,0
38,0.002214794870253587,0.0023915639612823725,64.0,0,0
39,0.0021128718263322584,0.0022816702257841825,64.0,0,0
40,0.0020241508538132173,0.002197549445554614,64.0,0,0
41,0.0019456451338013274,0.0021140589378774166,64.0,1,0
42,0.00185625789597173,0.002028045244514942,64.0,1,0
43,0.0017847583543411211,0.0019663393031805754,64.0,1,0
44,0.0017208337003626582,0.0018941668095067143,64.0,1,0
45,0.0016563593659125139,0.0018245214596390724,64.0,1,0
46,0.0015979974771637405,0.0017661950550973415,64.0,1,0
47,0.0015468358107139928,0.0017076192889362574,64.0,1,0
48,0.001489875021210888,0.001664676470682025,64.0,1,0
49,0.0014445358282772073,0.001613148022443056,64.0,2,0
