seed,model,n_features,k,nmse,mean_l0,n_dead,frac_dead,final_train_mse
42,overcomplete_batchtopk,1024,64.0,0.001563393208775491,64.0,8,0.0078125,0.0014287465407202642
42,undercomplete_l1,128,,0.00273506878875196,67.90421295166016,0,0.0,
43,overcomplete_batchtopk,1024,64.0,0.0014254688754324401,64.0,11,0.0107421875,0.001413800614771613
43,undercomplete_l1,128,,0.0025689848698675632,66.2184066772461,0,0.0,
44,overcomplete_batchtopk,1024,64.0,0.0014080719139585095,64.0,5,0.0048828125,0.0014172402116584412
44,undercomplete_l1,128,,0.002490087179467082,67.9915771484375,0,0.0,
45,overcomplete_batchtopk,1024,64.0,0.0015306824491288275,64.0,4,0.00390625,0.0014736402224291836
45,undercomplete_l1,128,,0.002645404078066349,67.78533172607422,0,0.0,
46,overcomplete_batchtopk,1024,64.0,0.0016131480643470032,64.0,5,0.0048828125,0.0014445358282772073
46,undercomplete_l1,128,,0.0027304519899189472,67.97098541259766,0,0.0,
