,positive_ionizable,halogen_F,halogen_Br,aromatic_ring,halogen_Cl,nitro,negative_ionizable,sulfone,nitrile,methyl,amine_primary,aromatic_S,aromatic_N,amine_tertiary,alcohol,methylene,terminal_alkyne,thiophene,aromatic_O,hbond_acceptor,phenyl,benzene,carboxylic_acid,quaternary_carbon,triple_bond,hbond_donor,ether,amide,ester,double_bond,vinyl,amine_secondary,cyclohexane,methine,pyridine,cyclopentane,allyl,cyclopropane,phenol,ketone
positive_ionizable,1.0,-0.006452516012380744,0.04253111085879315,0.012794109514825082,0.039120403555844424,0.8307261140609962,0.7738618353904282,0.019260802878091572,-0.04489715633713341,-0.049362044451853763,-0.034220856497376426,-0.020067121929531077,-0.06515549854160237,0.031007949960656297,0.05541704441862737,-0.05350897069216777,-0.010469285619931311,-0.017290671144551767,-0.024152534054467982,0.08447549257886001,0.09206376167114878,0.09234974212241037,0.048473467304977466,0.0008099625461972179,-0.014658601968638269,-0.005239302818298431,-0.005526529936878078,-0.10756876147050427,-0.02119578003781392,-0.009355666736457548,-0.002198373364398742,-0.041950160420281865,-0.035465617173251425,-0.029743843140688845,-0.04715614837204763,-0.015620835319396831,-0.002783753489769102,-0.020144898411683335,-0.0060323776570252565,0.010280769908349233
halogen_F,-0.006452516012380744,0.9999999999999998,-0.00773817023606131,0.05886579451790127,-0.042500163877074594,-0.0028329176881550437,-0.0032521976867373077,-0.025558365840112982,-0.0007188073057480712,-0.120930868150495,-0.045279510885233736,-0.03976193556533117,0.006564592275148826,-0.05019486317570414,-0.08249205179625764,-0.14032221050577237,-0.026251125987394996,-0.02039453040521527,-0.01481481099983798,-0.08696790495791307,0.06706635314643854,0.06758812196195375,-0.05139806043404649,0.006744031386482051,-0.012785739712951084,-0.14026270833101476,0.024121077033657116,-0.07526246100463996,-0.029123056671719036,-0.01929475366347509,-0.03010071164197849,-0.07380775350261973,0.009768130829066881,-0.0764866657426613,0.022362803251743533,-0.01816724120894545,-0.004979278008153443,-0.026976482256720027,-0.03342307053859796,0.016436073431927038
halogen_Br,0.04253111085879315,-0.00773817023606131,1.0,0.1515166886794054,0.004571634913877136,0.051306163725615146,0.04167179204551155,-0.018901729381004994,-0.06434869791789817,-0.0771229774725491,-0.03166915446296854,0.0005505476593374162,0.030283933529121856,-0.05700197912129156,-0.0682732139488122,-0.1706300905775176,-0.022407726567914076,0.011127673126421702,0.03179245088632862,-0.139547952592233,0.11480108010939953,0.11478954213052817,-0.03742811911177249,-0.05800785719372459,-0.03183971159389784,-0.11683200643575514,-0.08029020320977663,-0.05126909668707801,-0.03315116450496828,-0.02675400702263377,-0.03292692094786003,-0.05617763265396814,-0.05423674134605216,-0.12301466932960244,0.09532196130771643,-0.0428741648649032,-0.03207805066047387,-0.0487432308426041,-0.020575483367716512,-0.010590363769629785
aromatic_ring,0.012794109514825082,0.058865794517901276,0.1515166886794054,1.0,0.128532296853912,0.021059756772038165,0.013378467780940323,-0.008037805828560497,0.0564650866949622,-0.03713293972871009,0.027677329801318012,0.15644999644260746,0.5371686624040671,-0.23548804238095822,-0.11714373386920429,-0.5513606639417841,-0.11765561540516462,0.09341800388489646,0.25820101561054304,-0.27975502845884875,0.5581731518010795,0.5574945352410344,-0.044251103375414595,-0.3107322293141534,-0.12456091171933253,-0.1345000606573408,-0.08715200982729973,-0.2023344135118736,-0.09779604926327379,-0.07410145184400853,-0.08137424484743046,-0.08180176427533567,-0.23532064497604235,-0.4600106693911727,0.2613090452227111,-0.1522600286419827,-0.08735637907944811,-0.1797316969338586,0.08398006903329754,0.04933776964646845
halogen_Cl,0.03912040355584443,-0.04250016387707459,0.004571634913877135,0.128532296853912,0.9999999999999999,0.037931113956601814,0.032841738986323116,0.003869902551149958,-0.034509221506517626,-0.10585435005549122,0.004450732342224949,0.0328433008264799,-0.004107402840456637,-0.03184022173310286,-0.024160202745396597,-0.1527943064631359,-0.019043679742334056,0.031989684573428115,0.013413921354109163,-0.043421060434816215,0.12419081912729434,0.12525045224939382,-0.0013815233715649118,-0.06461548608905993,-0.02578822690656249,-0.06119265570835232,0.00642600868047235,-0.03588205858365092,-0.015841416257921695,-0.015396988447541166,-0.022130376511395083,-0.053536254375763676,-0.050006505950783556,-0.128592663275151,0.018353800808054533,-0.03157174564236545,-0.03203094036660868,-0.021086280092347687,0.040915264908558124,-0.006414849779635575
nitro,0.8307261140609963,-0.0028329176881550437,0.05130616372561515,0.02105975677203816,0.037931113956601814,1.0,0.7958451991380215,0.02022768611781552,-0.04596030160907719,-0.04797624317580499,-0.03398300995124211,-0.023260221734772244,-0.06334967142690594,0.038497905637837816,0.06536705394608695,-0.04771161963820577,-0.011435592154390642,-0.018918559965099276,-0.02675347778401362,0.08547308923472702,0.10060122048906273,0.1002883079051869,0.05157695845795546,-0.0033677232062992754,-0.015602010684946141,0.00804296268162649,-0.010178988038502574,-0.10142049449786084,-0.01355460398079451,-0.017008092676892392,-0.014180078394818803,-0.035612286129885505,-0.029263750442010406,-0.029353106261849508,-0.0464826669343959,-0.01377322780551534,-0.015447575914465135,-0.02344937137157587,-0.003919481053497612,0.001773742211178734
negative_ionizable,0.7738618353904282,-0.003252197686737308,0.041671792045511545,0.013378467780940323,0.032841738986323116,0.7958451991380215,1.0,0.032167571777812404,-0.04552170561834119,-0.04699420500656384,-0.034985894963166723,-0.02428759844625164,-0.05881953530910902,0.02557179866786762,0.05339123153444709,-0.05389840481994674,-0.0105371682070529,-0.021967638352153346,-0.02619641322729518,0.08502129833794571,0.08605589010088668,0.08650489673238851,0.04657430712609563,-0.00542181633132328,-0.013833819695547003,-0.002707473915569675,-0.012652653857260969,-0.10585505141331672,-0.012468674425463101,-0.02033243902800573,-0.01582510638207641,-0.03633069938111745,-0.029983357838636624,-0.03619668689138702,-0.04049989306808856,-0.015106455134265916,-0.014207431793752582,-0.01911520371549768,-0.0034307381482974195,0.008797300484857842
sulfone,0.019260802878091572,-0.025558365840112986,-0.01890172938100499,-0.008037805828560495,0.0038699025511499574,0.02022768611781552,0.0321675717778124,1.0,0.026236498481877594,-0.022506579056134724,-0.047112865857343866,-0.014701121660495363,-0.043541469181148415,-0.05288239759356061,-0.012047844138213488,-0.021219207591801854,-0.01532769072369575,-0.006540030260982661,-0.00017358477120114354,0.25141060271955207,0.04751800367223947,0.04725934949131922,0.020538006738287394,-0.021947490456529658,-0.02026796494489008,-0.01665976470375671,-0.041167519177123565,-0.07461394262442286,-0.006669051531327407,0.044769634162790756,0.04758407944682115,-0.07466967103551968,-0.019616668293433993,-0.045600817231832055,-0.03418356494523414,-0.016671772833429976,-0.020546602028630092,-0.016571870445787767,-0.00779920874489468,-0.010536889220656799
nitrile,-0.04489715633713341,-0.0007188073057480712,-0.06434869791789817,0.0564650866949622,-0.034509221506517626,-0.04596030160907718,-0.04552170561834119,0.026236498481877597,1.0,-0.00073316312935203,-0.09217316926429102,-0.03437995800077304,-0.07060360970449121,0.003967151727827523,-0.14847511861721646,-0.15566344152063766,-0.03459061800580502,-0.011572814626485723,-0.018066687101434234,0.231892585384198,0.07703340152848967,0.07748067545491498,-0.10798259975476923,0.031910795757069274,-0.04747702872275165,-0.2097409680008331,-0.07886050749359953,0.0285846283862641,-0.04240516059068023,0.010614069577389112,0.014669474941291446,-0.07905880019216886,-0.06182452094673617,-0.19546373382000756,0.07133405417481208,-0.0369795826705581,-0.008947849735854385,-0.029132821212512174,-0.028648977963629304,-0.00848879845060012
methyl,-0.049362044451853763,-0.12093086815049502,-0.0771229774725491,-0.03713293972871009,-0.10585435005549122,-0.04797624317580499,-0.04699420500656384,-0.022506579056134724,-0.00073316312935203,0.9999999999999998,-0.037631485587607906,-0.024250604009390823,0.015185966195004315,0.07483968021967172,-0.0871076204586148,-0.17787150204593957,-0.03624606295093864,-0.029148223898688083,-0.013042573225320733,0.17556098474294207,-0.010158244222700556,-0.009345369191161213,-0.02361147833170682,0.09891429289454547,-0.03669700569352445,-0.06493130515617254,0.03679101815723832,0.02500752758335587,0.23138505612562002,-0.07477521424950954,-0.08067905968496099,0.018909192280397582,-0.11743493821982716,-0.08498857936901219,-0.10782339511631477,-0.09746899350155118,-0.06286105217986807,-0.066206636020517,-0.050142471805763304,0.0178417046175731
