,alcohol,phenol,carboxylic_acid,ester,ether,ketone,aldehyde,amine_primary,amine_secondary,amine_tertiary,amide,nitro,nitrile,halogen_F,halogen_Cl,halogen_Br,halogen_I,sulfone,sulfoxide,thiol,phosphate,benzene,pyridine,pyrrole,furan,thiophene,imidazole,indole,quinoline,naphthalene,cyclohexane,cyclopentane,cyclopropane,double_bond,triple_bond,aromatic_N,aromatic_O,aromatic_S,quaternary_carbon,terminal_alkyne,allyl,vinyl,phenyl,methyl,methylene,methine,hbond_donor,hbond_acceptor,positive_ionizable,negative_ionizable,aromatic_ring
alcohol,1.0,0.29780977246697765,0.6166341230445173,-0.13176140290283792,0.19193860428632709,0.012150223321739312,-0.0025998950324492235,-0.11311458429122787,-0.14462800326917535,0.019122617813139776,-0.02987649846904895,0.06604047642507582,-0.15116641967036543,-0.08357670009173969,-0.023878086335303986,-0.06957994520911696,0.011467018510089945,-0.011852014177142142,-0.0008319581162509219,-0.020387697471986748,,0.00447794107386086,-0.01592440383611658,-0.03581508254267851,-0.022834370385464705,-0.01603927489161389,-0.03755932373111684,-0.018892279733967735,0.014273229161758565,-0.0018022266844224075,0.05010289683319948,0.03878574260499168,-0.018739320854665096,0.023738187519110224,-0.023283592789128903,-0.12454215232004986,-0.08097288268829116,-0.06735537637028313,0.046549618959043054,-0.04513227779458329,0.012441924702633078,0.024350674848702507,0.00447794107386086,-0.08773137409281626,-0.019011503369081768,0.09864065041650547,0.55056117227757,0.05015783735303988,0.056732087829967304,0.058153909199771536,-0.11823378917988007
phenol,0.29780977246697765,0.9999999999999999,-0.04904899111100624,-0.03192777584021255,0.18110599987758028,-0.0024718776653491602,0.00400143375539566,-0.04616527049633204,-0.039920121929759356,-0.014049073073049473,-0.0012614678236165403,-0.005953213418270674,-0.030860556747058652,-0.0341956755068675,0.04549391267963777,-0.02118592443728655,-0.008093605406724024,-0.008677883487215444,-0.005753751257295868,-0.0022882475347454673,,0.10382874668409924,0.05928059388803213,-0.002343092932666751,-0.017886888289701506,-0.019867328148525158,-0.014380302299064618,-0.00801869055710176,0.027963244913719917,0.0655264196906603,-0.008441477127564444,-0.023361411465340497,-0.040319968862648034,-0.01770331571661215,-0.012351979251885671,-0.029796735727885493,-0.007940571209223323,-0.02565804053419298,-0.04476983867938669,-0.016680169598466594,-0.018620476880739045,-0.014140874931397054,0.10382874668409924,-0.05299673613801982,-0.053313575846065386,-0.08878330146205274,0.16221062431374852,-0.05079464769499754,-0.008480476862687176,-0.007321671802390561,0.08585174895686058
carboxylic_acid,0.6166341230445173,-0.04904899111100624,1.0,-0.0950091319679184,-0.11986320211109602,0.06358985250353616,0.005717782900471986,-0.0687909201045969,-0.11062326784742853,-0.036987318042309196,-0.08648302623529278,0.05640974248384606,-0.11166950504111522,-0.053011525095023555,-0.001759454150374436,-0.03609054774743995,-0.00023612294940195689,0.020623323057034473,-0.0002616589470208657,-0.011314396501910249,,0.020311074021126134,-0.011869024603790192,-0.01730512479042363,-0.01867271837876647,0.013763671152393655,-0.0193920236891768,-0.002808517856237206,0.007443680162107256,-0.016506904678588702,0.03262083641434981,0.029823911706686416,1.9271237400659334e-05,0.03202571198328777,-0.015978753648643058,-0.04956449341029165,-0.046574717840576416,-0.024191805429571826,-0.04600363191807511,-0.026541907325329364,0.0328862737652631,0.023146111430104574,0.020311074021126134,-0.02531745770642864,-0.1316453680541103,0.0601252092260721,0.3266548322946164,0.19830843008320392,0.05179097043260829,0.050103819308583646,-0.0430403913696868
ester,-0.13176140290283792,-0.03192777584021255,-0.09500913196791841,1.0,-0.04823070434735698,-0.0029892325712446806,0.009367585930240698,-0.010661782163977836,0.021310399516916875,-0.06230585247665713,-0.20416048653761024,-0.01629205397084752,-0.04277034687903464,-0.03240580996657146,-0.017165369868834598,-0.033721201497400426,0.002183760712598747,-0.005237465932568607,0.012574216550010555,0.019004452132915583,,-0.06152930476572857,-0.04160379706281438,0.003928171152929828,-0.011221492085398552,0.036115753398044924,0.0035769168867703376,-0.002195567861583724,-0.008798854788843576,-0.0028147522266036844,-0.003023106177199179,0.018444706500100654,-0.011275996478166848,-0.0015136930664502671,-0.0053763222691755475,-0.05296429500910353,-0.030944045239392384,0.02818231024329043,0.02945378969725601,-0.021101861472500816,-0.008127599532226071,-0.009851322974087858,-0.06152930476572857,0.23678828530714688,0.029487996885095753,0.006883415397083198,-0.08277634212520832,0.34697587342775527,-0.019340395314770498,-0.015511709762958317,-0.10095102013100737
ether,0.19193860428632709,0.18110599987758028,-0.11986320211109601,-0.04823070434735699,1.0,-0.005708251277472304,-0.011600601418243298,-0.10184772006813352,-0.06009077203461965,-0.03616417846436925,-0.037597805147024266,-0.010335500796263815,-0.07866791977178199,0.02440580991376257,0.0062371971066262554,-0.08216813864723704,-0.002937044850379152,-0.04264140833409829,-0.005281640955035969,-0.0197506942256311,,0.043627898171369986,-0.03721842026983612,-0.00793412203538613,-0.01693290660749578,-0.05089659724042422,-0.03736841471512635,0.022539637394702564,0.002056049333814944,0.013007803744096165,-0.02609362928383897,-0.0366487627972364,-0.05502043424455297,-0.032144704216127015,-0.045885759407213456,-0.12000013709822342,-0.050143431104425304,-0.06913899021752122,0.007196692189427841,-0.042853358998512406,-0.0417237987557995,-0.031354567513945455,0.043627898171369986,0.03655671752697746,0.10420184368906375,0.0006349149997946838,0.03991994011737132,0.23827274659458889,-0.008505411570083455,-0.012511565454167132,-0.08795468743221836
ketone,0.012150223321739312,-0.0024718776653491607,0.06358985250353616,-0.00298923257124468,-0.005708251277472305,1.0,0.016734107153305085,-0.024504182070303665,-0.10126874661235172,-0.14123119447375992,-0.19120146292455117,0.008842630387507993,-0.008945376267068176,0.01641950461584643,-0.007994007707063579,-0.01136728479784938,-0.002682761985133111,-0.011037374924622465,0.0037526154375656933,0.007254188072043695,,0.06567917315170464,-0.0027466881168903214,-0.006124995934813098,0.00408025795306877,0.014812675620554876,-0.002915294707124037,0.0018236679552399364,-0.00927398359005236,-0.010282240907195577,-0.018614374326043404,-0.025817046675878197,-0.03780756827615696,0.015120782135764196,-0.027705178467377196,-0.02652893264667156,-0.012121867017854882,0.017784035112115286,-0.011862542514483682,-0.0319041664529212,-0.009627831851535455,0.013575251360481867,0.06567917315170464,0.01801484508020842,-0.10549132015476034,-0.09446539817434828,-0.08007966515379175,0.04914538594941151,0.013903688548285885,0.01235438800930355,0.051207770591798166
aldehyde,-0.0025998950324492235,0.00400143375539566,0.005717782900471986,0.0093675859302407,-0.011600601418243296,0.016734107153305085,1.0,-0.02908868522664222,-0.028283941395920054,-0.018974079794002705,-0.07554234094832703,0.16565277850095564,-0.025073693083232637,0.03484522667289459,0.0006696601263546925,0.03701613715422897,-0.0006687470890220247,-0.014479152593593156,-0.0027493011516342356,-0.0021875105286574452,,0.04906580670970943,-0.010413009371575835,0.03687170034997034,-0.0005380684199460461,-0.005339164366196882,-0.00735499490818646,0.000573957433541308,-0.008904343712398361,0.005448942094023805,-0.027740771119654572,-0.014129740665435974,-0.0158972047836417,-0.0028780649192534703,0.0029336385903350796,-0.004429627956158233,0.014647846124371486,-0.014950695661125378,-0.006157044562482258,-0.0012735966983391717,-0.005422534760025216,-0.0027180816272400587,0.04906580670970943,-0.019126149239402927,-0.06419092444901466,0.029216245807761932,-0.039833856507623645,0.045848683636694455,0.15895623818674914,0.14468552822525368,0.03868324128329584
amine_primary,-0.11311458429122787,-0.04616527049633203,-0.0687909201045969,-0.010661782163977836,-0.10184772006813353,-0.024504182070303665,-0.029088685226642215,1.0,-0.10867491507610326,-0.05209325729851695,-0.015006139931104473,-0.03524499739055862,-0.09324867526605303,-0.04764982981414593,0.003305466441415169,-0.03467577633160353,-0.0083064876841511,-0.049262093729302216,-0.009942430946414579,0.000180077401710996,,2.5391171061835007e-05,-0.002304828435193744,-0.0077727209106394695,0.006295980312459476,-0.0273124356227972,-0.01295704687996286,-0.0030568584941898843,-0.021799052170286888,0.012848643040046428,0.06160853617200696,0.04391196786850909,-0.014398853678929346,-0.03060323562088668,-0.010590881370480854,0.05739949704366487,0.04670985125333471,-0.03091602227337168,-0.02143008398451823,-0.01977606910855896,-0.017422162742579256,-0.030544524569190375,2.5391171061835007e-05,-0.03815388708756244,-0.054406738675597935,-0.008002857523501784,0.2700567614625663,-0.16499284250954036,-0.03745154900375361,-0.036512278226434464,0.028731529759501672
amine_secondary,-0.14462800326917535,-0.039920121929759356,-0.11062326784742854,0.021310399516916875,-0.06009077203461965,-0.10126874661235173,-0.028283941395920054,-0.10867491507610325,1.0,-0.30775054138186403,0.20422924494425734,-0.03875469105965309,-0.08167911567420474,-0.07392902503803722,-0.056643368297011484,-0.05966448722629628,-0.007851124094140141,-0.07658791906515858,-0.008149867413128419,-0.02188016221533893,,-0.014931926780848558,0.006460550902671407,0.012804531034110608,0.019595471590846923,-0.023795561974279043,-0.015597395270294183,0.013996318789857822,-0.01675930673899177,0.01054531677290958,0.0257815058019589,0.02646759408003445,-0.009423177644028346,-0.09385920716474876,-0.01679643026750173,-0.10428596576508957,-0.05012341042189321,-0.0057685700614600426,0.003522417398977245,-0.00918551558056562,-0.06275361752596399,-0.08742253904276193,-0.014931926780848558,0.019248898948759502,0.07306655962099737,0.08626949815780197,0.5873454930544185,-0.16621625693443176,-0.04444548696788862,-0.040338373207456604,-0.08124583191125602
amine_tertiary,0.019122617813139776,-0.014049073073049471,-0.036987318042309196,-0.06230585247665714,-0.03616417846436926,-0.14123119447375992,-0.018974079794002705,-0.05209325729851695,-0.3077505413818641,1.0,0.395964347125804,0.03854438188468116,0.005202150919317766,-0.04986112001668897,-0.030490137838412795,-0.058984986947553365,-0.024130742842095047,-0.055693370614561595,-0.008024536757222676,-0.005433425505518948,,-0.06857803155770632,-0.026565217938620673,-0.03248257786842626,-0.016528408510554874,-0.03201158817617033,-0.01844991484087388,-0.017403505327853137,-0.0021382637886084768,-0.029752677329989503,-0.06439341736173261,-0.04817900000937553,0.01960183832949683,-0.10574246797008806,-0.0008351560992243275,-0.2616475272383488,-0.1404266657330681,-0.05717375546202768,0.016027465035330764,0.03961211662011872,-0.06521352254025478,-0.0964152531617028,-0.06857803155770632,0.074741002479183,0.3851284561166817,0.13005619068202198,-0.2592856884519665,0.5003575511205194,0.03268506779528115,0.029230483830463037,-0.23713788765921712
