,drug_likeness,complexity,lipophilicity,size,polarity,flexibility
Factor_0,-0.004747735514799954,-0.0030803427006762347,0.00032179732557380763,0.006634426895758724,0.007111528945819599,-0.00291603323082693
Factor_1,0.004739245751668851,0.008597071641052707,-0.001005770159584641,-0.008611235484763464,-0.0025362716612638268,0.00014230811290945474
Factor_2,-0.010392012106832237,0.0006546611941740639,0.007524822427252501,0.006889163825178586,-0.0025719978239172082,0.01107298183582006
Factor_3,-0.179083936921312,0.0022065065022646903,-0.1720237369159536,0.020037333123351892,0.28029049650806404,-0.04343338962739377
Factor_4,0.1502024566130173,0.07852958494136071,-0.2580778612566561,-0.2831247201630637,-0.007986192008683517,-0.1214115783768465
Factor_5,-0.008665383271126533,0.008040535488608341,-0.0029779979583296396,-0.001079571636558277,-0.003119490258937912,0.002243740798842474
Factor_6,0.038826318526956165,0.09919297954107002,-0.2784896392447483,-0.10786318224455976,0.291661955622606,-0.07043113490535174
Factor_7,0.004170128951818501,-0.009873503725880828,-0.00014698956703158343,0.0031591739517119665,0.0009476351012422009,-0.000838043589923173
Factor_8,-0.07512922757082481,0.050557778885085385,0.1831204085271181,0.0640756358133063,-0.12638340541035395,0.19899525399520976
Factor_9,-0.1703774711520655,-0.1741983179589762,-0.2336861790683826,-0.009567871950897523,0.08477453873814872,0.0763213915926236
Factor_10,0.004070300137089778,-0.003213510751654618,-0.0004985306979701904,-3.9217127942142856e-05,0.002102261221292623,-0.00354193080730418
Factor_11,-0.3103732297449785,-0.19618082901865216,0.4121444388504693,0.7566679750387217,0.24769738228050567,0.33420276015766404
Factor_12,-0.201855725000907,0.23625979540377895,-0.20083904003787906,-0.5066500120830495,-0.2130803524152169,-0.23977611528471124
Factor_13,-0.16328821262772855,0.1033392085991304,-0.08677454464829797,0.031836320622860556,0.06847140254464396,0.045151150319823294
Factor_14,0.0028309367031577226,-0.006891342563919332,0.008650693846480258,-0.0004056178561945597,-0.017080847843473544,-0.007916141174712834
Factor_15,0.007529061979815817,-0.0006268235262326351,-0.006754223589740447,-0.004834586649011168,-0.0021150913253338613,-0.007278683799780031
Factor_16,0.012348592943666019,-0.007616572741591935,-0.011927359571214883,-0.009628263309069178,-0.0061850975164972994,0.0017029794940861544
Factor_17,-0.0027050740681811513,0.00038985520970782374,-0.005071372536926838,-0.007405568780321256,-0.002959510186596588,0.004756117898171453
Factor_18,-0.00403135300751962,-0.003978945226202843,0.0014148961036855195,0.0007513377594032002,0.0003729622110374578,0.005999781766282215
Factor_19,-0.06351147271764994,0.1148370240591213,-0.16665029915969762,-0.20376648032078556,0.02055127752615706,-0.08855488455088818
Factor_20,-0.009416084790835342,-0.0005890209848704569,-0.011089613379719159,-0.0006714557513827664,0.006267686284607273,-0.002441196808792683
Factor_21,-0.0004413583786555303,-0.005365452454860288,0.002237135073766658,-0.0019005790253916418,0.001296553952791081,0.0004986277988130352
Factor_22,-0.006487041598272807,-0.0004975678207422084,-0.0045687748025537355,0.000897850326496059,0.008445228808637907,0.004840127026073703
Factor_23,-0.0009265363705624563,0.002838516715805999,-0.002780638039929733,-0.004749125668932196,-0.0006790879952434997,0.0037908575184517103
Factor_24,0.007500585297743918,-0.004691773586216713,-0.007722404243004997,-0.010403108236379167,-0.006619022869005668,-0.010496132727284684
Factor_25,0.010401991686852107,0.0009715835431089113,0.002569957760764505,0.0058556856937153285,-0.001583670182884479,0.007059904619257455
Factor_26,0.0018056441704967854,-0.004203563510985772,0.005341255115390682,-0.005266988574514371,-0.007147172501186743,-0.0069566657321029225
Factor_27,-0.057527810633740316,-0.015534137461376822,0.3384935891718673,0.3197979901490922,-0.06497478516233239,0.0671157588216292
Factor_28,-0.3789765414539898,-0.10314363372762178,0.25543337444643993,0.5249397587710013,0.20042663563898172,0.2725985846193315
Factor_29,-0.2894657815109812,0.379707262261153,0.2619017619946761,0.03670998520268283,0.04822500979454004,0.035697510490279055
Factor_30,-0.1023646447872464,0.1721575302573057,-0.14371938160736963,-0.3162992583072814,-0.10725071040751735,-0.13714739870198803
Factor_31,-0.07007500965932263,0.08758847287198115,-0.020355868010766644,-0.25567963594668197,-0.1963575706006006,-0.1051610527542245
Factor_32,-0.0032206929678806856,-0.0011823985068736358,-0.006487383043215438,0.0019942046528798893,0.0015175829505672288,0.005380665036956836
Factor_33,-0.1418599265096878,0.030880722543230578,-0.039882887227007544,-0.028753221441945965,0.17502079767542583,-0.04859748291573717
Factor_34,0.10165579903821345,-0.11558600138181244,0.1629177828723446,-0.22631694850613893,-0.4151850469687789,-0.11038986491790348
Factor_35,0.012447692741301156,-0.004031925341516287,-0.004173948880402138,-0.014911404328280666,-0.0060491137308236005,-0.008821787245769477
Factor_36,-0.07941356228587602,-0.3302268394255771,-0.01623946875947449,-0.04022607181566155,-0.0921364851229963,-0.29955760145815796
Factor_37,0.19418856750527105,-0.1466731063241131,0.2778481715280033,0.15112037764068578,-0.19702100877394765,0.059151655583500246
Factor_38,-0.145000991027253,0.13668266824110561,0.20152451123932327,0.0830056498254285,-0.0766572179071897,-0.04900249300255262
Factor_39,-0.07429908742174474,-0.03600366987614265,-0.18193782188958801,-0.03588164752075168,0.10114312458883751,0.15187051025333187
Factor_40,-0.09339862105037033,-0.01620447432923896,-0.09537808503026216,0.1123952000024207,0.26841340421779863,0.027561970687043934
Factor_41,0.0035033867579946035,-0.003404306613980584,0.0009280113757073343,0.002308111511402343,-0.0012317213149983105,-0.005718194828523633
Factor_42,0.01233208725982947,0.08643466684964346,0.17016529579881642,0.10965779166583285,-0.007255141083555769,-0.04880274840926144
Factor_43,0.005160522296849264,-0.007455530155012038,0.007143703654365404,0.0017799238552375066,-0.0037627908387176633,-0.002259431297863889
Factor_44,-0.00536573434070296,-0.0005405362157804998,0.00038119671682892715,-0.007454741076543388,-0.0074358120016852994,-0.00011859129091667629
Factor_45,-0.004280269573042174,0.0013204404713425479,0.00732621346886578,0.015526804958083019,0.015020584035336593,0.0033523300944629537
Factor_46,-0.08180702554707223,0.17635117412208764,-0.047943197059832715,0.16757659433153593,0.18699018192251138,0.11121655746566919
Factor_47,0.0029043642110239036,0.001108442835917465,0.006622518654815842,0.0021971448652793333,-0.0011008541942875488,0.005919253169268387
Factor_48,-0.008362900034483513,-0.0009473170760931932,-0.00265644950841944,0.0017809524042189321,0.008338704430576483,0.012576574475909047
Factor_49,-0.1745628371484337,0.17839882674461813,-0.13364693111021972,-0.4224695638101627,-0.23030704631551346,-0.14110056257838716
Factor_50,-0.0009903070807110645,-0.00793774679826638,-0.0031332812833077383,2.6266412363016176e-05,-0.0027078367676613047,0.0018331643402693862
Factor_51,0.010456386814152667,-0.0008296556322301085,0.0018617796257522751,-0.007434335043141379,-0.0033698021551915504,-0.0022536513010438376
Factor_52,-0.2912062498262723,-0.03640995815977035,-0.039251206304722674,0.36388023464333996,0.4459436611658472,0.19867452815058065
Factor_53,0.0026808149337668474,0.0026616944766415054,0.006723205133540987,0.009575944734906847,0.0040030280805984225,0.002352000900255897
Factor_54,0.0008185646094124019,-0.0035888213840303057,-0.0014099550387407002,0.00042232703125704064,2.1345373047051806e-05,-0.0027104003299070925
Factor_55,-0.15755972929800868,0.34700572316852496,-0.043845132675873144,-0.07247290982534237,0.05683743406843764,0.37519750274322883
Factor_56,0.17279745990521994,0.0016931853585572458,-0.036627781304212396,-0.03772610532979698,0.012951417894841988,-0.03920413957275539
Factor_57,0.003713343936286032,-0.006427668996365218,-0.0018584155697641427,-0.003627059127109507,-0.0007245820744244119,-0.005745650339979245
Factor_58,0.0025672148676174097,0.0059585638049801295,-0.004070892154723401,-0.007259485910447731,-0.005763895139747934,0.000566642181898415
Factor_59,-0.004260026924158506,-0.006279910715547732,0.01234522512831697,0.012298578931176085,0.0067206106298981,0.005369678311759291
Factor_60,-0.0038743968218831653,0.007516962334275925,0.005119268619622167,0.001396085684611537,-0.0022325804170168625,0.00450319882020571
Factor_61,-0.06205633579495876,-0.287315992302119,-0.08759387751835655,0.0005353056390071296,0.10343673688399224,-0.17152079903137704
Factor_62,-0.3253711116113966,0.06746996142036685,0.008211342256507447,0.05028163996655983,0.19871988913730504,0.09165204615407355
Factor_63,-0.004398050992879292,-0.0013700769398811829,0.0011442688114520708,-0.009050406826856814,-0.007969265374187682,0.0003444829472486863
Factor_64,-0.0007906576401480361,-0.00030207012438694794,0.00026674642986298597,0.007712559517423335,0.006463980549608953,0.0016445986592813376
Factor_65,0.23474372106620092,-0.09402494030328384,0.09289915324064402,0.09551717610477908,-0.017913268439989118,0.021945210547345644
Factor_66,0.007211576265221919,-0.004353972331924339,-0.005477521036486549,0.0010295065118475137,6.798676814043347e-05,0.006649937312248527
Factor_67,-0.1816142014807302,0.144961139547614,-0.10590837260072047,-0.31097351311357535,-0.14631874061595246,-0.16529545944438415
Factor_68,-0.00959371942951576,0.0037880625838121866,0.0020393379815498835,0.009692178506216847,0.008947088058141378,-0.0026333284409923723
Factor_69,-0.09270607095620656,0.1338456056873756,0.20716621633708737,0.132310767045938,-0.18018673713195849,-0.04780511848484898
Factor_70,0.0011918427728260818,-0.00403640992776853,-0.0002996262414344587,0.002715571401773349,-0.0013565044712325063,0.003073029833698838
Factor_71,0.1641016649262623,-0.10872632169802088,0.1073036125132555,0.27419237619420417,0.16474438534326874,0.09246870621115737
Factor_72,0.0034769462892135024,-0.0017667772209937953,-0.004524468548413529,0.003322929140562463,0.00898825018513558,0.004213834089868944
Factor_73,0.010655718635019483,-0.003352861106902591,0.006334307704892877,0.011678505769867596,-0.0016824077301145965,7.68682324739188e-05
Factor_74,0.0031573509494367876,0.0014499019827619876,-0.004822577763888473,-0.004957415472741497,0.009197666570906876,0.003320356109537702
Factor_75,0.20712516351674545,0.12813882467218884,-0.34984904671618655,-0.5741833024841452,-0.1692268923401605,-0.23413214577456345
Factor_76,0.30711842806719286,-0.013053917338566335,-0.10487276245419187,-0.2038519930928435,-0.07804448976684474,-0.1077355093390255
Factor_77,-0.09112119077144551,0.15529697220920183,-0.16337138027344586,-0.0007693191097688896,0.3011547542071444,0.09601507664133996
Factor_78,0.003469276097802425,0.0025448782951943594,-0.0017193584041038466,-0.001041082723168878,-0.002099802397172636,-0.0022409031057689997
Factor_79,-0.0007631998148947155,0.013187249913272555,0.001625209678780151,0.0002419664243769553,-0.003590519962383585,0.007395454980560206
Factor_80,0.008471271477402906,0.009225405386254115,-0.003453112797433573,-0.004867109436162912,-0.0021762221471547535,-0.0067524578887845944
